instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/LANL/2001/MPA,LANL Spacecraft Series,MPA,LANL2001 Magnetospheric Plasma Analyzer,LANL 2001 MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions in the magnetosphere
spase://SMWG/Instrument/LANL/2002/MPA,LANL Spacecraft Series,MPA,LANL2002 Magnetospheric Plasma Analyzer,LANL 2002 MPA electrostatic analyzer measuring 3D ion and electron energy-per-charge distributions at geosynchronous orbit
spase://SMWG/Instrument/ACE/Ephemeris,ACE,Ephemeris,ACE Positions,ACE ephemeris data product providing spacecraft position and trajectory information
spase://SMWG/Instrument/ACE/MAG,ACE,MAG,ACE Magnetic Field Instrument,ACE MAG dual triaxial fluxgate magnetometer measuring interplanetary magnetic field vectors
spase://SMWG/Instrument/ACE/SWEPAM,ACE,SWEPAM,"ACE Solar Wind Electron, Proton and Alpha Monitor (SWEPAM)","ACE SWEPAM electrostatic analyzers measuring solar wind electrons, protons, and alpha particles"
spase://SMWG/Instrument/ACE/EPAM,ACE,EPAM,ACE Electron Proton Alpha Monitor,"ACE EPAM energetic particle spectrometer measuring suprathermal electrons, protons, and alpha particles"
spase://SMWG/Instrument/ACE/SIS,ACE,SIS,Solar Isotope Spectrometer (SIS),ACE SIS solar isotope spectrometer measuring energetic ion elemental and isotopic composition from He to Zn at ~10–100 MeV/nucleon
spase://SMWG/Instrument/ACE/CRIS,ACE,CRIS,Cosmic Ray Isotope Spectrometer (CRIS),ACE CRIS cosmic ray isotope spectrometer measuring elemental and isotopic composition of galactic cosmic-ray nuclei from He to Zn at ~100–600 MeV nucleon⁻¹
spase://SMWG/Instrument/ACE/SEPICA,ACE,SEPICA,Solar Energetic Particle Ionic Charge Analyzer (SEPICA),"ACE SEPICA electrostatic ion analyzer measuring ionic charge state, kinetic energy, and elemental charge of energetic ions"
spase://SMWG/Instrument/ACE/SWICS,ACE,SWICS,Solar Wind Ion Composition Spectrometer (SWICS),"ACE SWICS ion composition spectrometer measuring solar wind elemental and charge-state composition, temperatures, and bulk speeds of ions from H to Fe"
spase://SMWG/Instrument/ACE/SWIMS,ACE,SWIMS,Solar Wind Ion Mass Spectrometer (SWIMS),"ACE SWIMS solar wind ion mass spectrometer measuring ion mass, energy, composition, and isotopic abundances"
spase://SMWG/Instrument/ACE/ULEIS,ACE,ULEIS,Ultra-Low Energy Isotope Spectrometer (ULEIS),ACE ULEIS time-of-flight mass spectrometer measuring ultra-low-energy energetic ion elemental and isotopic composition from He to Ni
spase://SMWG/Instrument/Alouette2/SFS,Alouette 2,SFS,Alouette 2 Sweep-Frequency Sounder,Alouette 2 SFS sweep-frequency ionosonde sounding ionospheric electron density profiles from radio pulse time delays
spase://SMWG/Instrument/AMPTE-CCE/MEPA,AMPTE Mission,MEPA,AMPTE/CCE Medium Energy Particle Analyzer,AMPTE CCE MEPA energetic particle analyzer measuring medium-energy magnetospheric ion spectra and composition
spase://SMWG/Instrument/Apollo12-LM/SWS,Apollo 12 Lunar Module/ALSEP,SWS,Solar Wind Spectrometer,Apollo 12 ALSEP Solar Wind Spectrometer Faraday-cup spectrometer measuring directional solar wind proton and electron intensities at the lunar surface
spase://SMWG/Instrument/Apollo15-LM/SWS,Apollo 15 Lunar Module/ALSEP,SWS,Solar Wind Spectrometer,Apollo 15 ALSEP Solar Wind Spectrometer Faraday-cup spectrometer measuring directional solar wind proton and electron fluxes at the lunar surface
spase://SMWG/Instrument/BARREL/1A/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1A Trajectory Positions,BARREL 1A ephemeris trajectory data product providing balloon position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/1A/XRI,BARREL,XRI,"BARREL Balloon 1A X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/1A/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1A Data Processing Unit,"BARREL Balloon 1A data processing unit handling X-ray spectrometer, magnetometer, GPS, and engineering telemetry acquisition and control"
spase://SMWG/Instrument/BARREL/1A/MAG,BARREL,MAG,"BARREL Balloon 1A Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 1A tilt-compensated fluxgate magnetometer measuring three-axis magnetic field variations
