instrument_code,mission_name,before_name,after_name,before_description,after_description,changed
spase://SMWG/Instrument/LANL/2001/MPA,LANL Spacecraft Series,MPA,LANL2001 Magnetospheric Plasma Analyzer,LANL2001 Magnetospheric Plasma Analyzer,"ElectrostaticAnalyser: The Magnetospheric Plasma Analyzer (MPA) consists of a single electrostatic analyzer (ESA) coupled to an array of channel electron multipliers, and it measures three-dimensional energy/charge distributions of both ions and electrons in a range of ~1 eV/q to >40 KeV/q.",yes
spase://SMWG/Instrument/LANL/2002/MPA,LANL Spacecraft Series,MPA,LANL2002 Magnetospheric Plasma Analyzer,LANL2002 Magnetospheric Plasma Analyzer,"ElectrostaticAnalyser: The Magnetospheric Plasma Analyzer (MPA) consists of a single electrostatic analyzer (ESA) coupled to an array of channel electron multipliers, and it measures three-dimensional energy/charge distributions of both ions and electrons in a range of ~1 eV/q to >40 KeV/q.",yes
spase://SMWG/Instrument/ACE/Ephemeris,ACE,Ephemeris,ACE Positions,ACE Positions,Platform: ACE spacecraft positions,yes
spase://SMWG/Instrument/ACE/MAG,ACE,MAG,ACE Magnetic Field Instrument,ACE Magnetic Field Instrument,Magnetometer: The ACE Magnetometer (MAG) experiment consists of two triaxial fluxgate magnetometers mounted remotely on booms extending beyond the spacecraft solar panels at four meters from the spacecraft center.,yes
spase://SMWG/Instrument/ACE/SWEPAM,ACE,SWEPAM,"ACE Solar Wind Electron, Proton and Alpha Monitor (SWEPAM)","ACE Solar Wind Electron, Proton and Alpha Monitor (SWEPAM)","ElectrostaticAnalyser: The Solar Wind Electron, Proton, and Alpha Monitor (SWEPAM) instrument sensors measure solar wind electrons at 1 - 900 eV energy and ions at 0.",yes
spase://SMWG/Instrument/ACE/EPAM,ACE,EPAM,ACE Electron Proton Alpha Monitor,ACE Electron Proton Alpha Monitor,EnergeticParticleInstrument: EPAM is composed of five telescope apertures of three different types.,yes
spase://SMWG/Instrument/ACE/SIS,ACE,SIS,Solar Isotope Spectrometer (SIS),Solar Isotope Spectrometer (SIS),ParticleDetector: The Solar Isotope Spectrometer (SIS) experiment provides measurements at isotopic resolution of elements from He through Zn (2 < Z < 31) at energies of 10 - 100 MeV/nucleon.,yes
spase://SMWG/Instrument/ACE/CRIS,ACE,CRIS,Cosmic Ray Isotope Spectrometer (CRIS),Cosmic Ray Isotope Spectrometer (CRIS),ParticleDetector: The Cosmic Ray Isotope Spectrometer (CRIS) provides measurements with significant statistics of galactic cosmic ray nuclei from He to Zn (Z=2 to 30) at energies of 100 to 600 MeV/nucleon.,yes
spase://SMWG/Instrument/ACE/SEPICA,ACE,SEPICA,Solar Energetic Particle Ionic Charge Analyzer (SEPICA),Solar Energetic Particle Ionic Charge Analyzer (SEPICA),"ElectrostaticAnalyser: The Solar Energetic Particle Ionic Charge Analyzer (SEPICA) is designed to measure ionic charge state, kinetic energy, and nuclear charge of energetic ions at energies above 0.",yes
spase://SMWG/Instrument/ACE/SWICS,ACE,SWICS,Solar Wind Ion Composition Spectrometer (SWICS),Solar Wind Ion Composition Spectrometer (SWICS),"ElectrostaticAnalyser: The Solar Wind Ion Charge Spectrometer (SWICS) determines elemental and ionic-charge composition, temperatures, and mean speeds of all major solar wind ions from H through Fe at solar wind speeds ranging from a minimum of 145 km/s to a maximum of 1532 km/s for Fe IX.",yes
spase://SMWG/Instrument/ACE/SWIMS,ACE,SWIMS,Solar Wind Ion Mass Spectrometer (SWIMS),Solar Wind Ion Mass Spectrometer (SWIMS),EnergeticParticleInstrument: The Solar Wind Ion Mass Spectrometer (SWIMS) measures every few minutes the mass and energy of most solar wind ions and many isotopes with velocities in the range from 200 - 1500 km/s for He to 200 - 500 km/s for Fe.,yes
spase://SMWG/Instrument/ACE/ULEIS,ACE,ULEIS,Ultra-Low Energy Isotope Spectrometer (ULEIS),Ultra-Low Energy Isotope Spectrometer (ULEIS),MassSpectrometer: The Ultra Low Energy Isotope Spectrometer (ULEIS) measures energetic ion fluxes over the charge range from He through Ni from about 20 keV/nucleon to 10 MeV/nucleon with mass resolution less than or equal to 0.,yes
spase://SMWG/Instrument/Alouette2/SFS,Alouette 2,SFS,Alouette 2 Sweep-Frequency Sounder,Alouette 2 Sweep-Frequency Sounder,"Sounder: The Alouette 2 Sweep-Frequency Sounder measured the ionospheric electron density in the altitude range 300 to 3000 km, and extended the Alouette 1 measurements to higher altitudes and to a different period of the solar cycle.",yes
spase://SMWG/Instrument/AMPTE-CCE/MEPA,AMPTE Mission,MEPA,AMPTE/CCE Medium Energy Particle Analyzer,AMPTE/CCE Medium Energy Particle Analyzer,EnergeticParticleInstrument: The AMPTE CCE Medium Energy Particle Analyzer (MEPA) measured the spectra and composition of magnetospheric particle populations from 10 keV per nucleon (for oxygen) to more than 6 MeV.,yes
spase://SMWG/Instrument/Apollo12-LM/SWS,Apollo 12 Lunar Module/ALSEP,SWS,Solar Wind Spectrometer,Solar Wind Spectrometer,"Spectrometer: The solar wind spectrometer, designed to measure protons and electrons at the lunar surface, was part of the Apollo 12 ALSEP package left on the Moon.",yes
